	Dir_15g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
10.742188	-31.97	88.98	0.64
11.718750	-28.49	171.07	0.71
12.695313	-27.81	-156.57	0.47
13.671875	-23.74	-128.27	0.06
14.648438	-27.17	9.27	0.20
15.625000	-30.65	133.58	0.37
16.601563	-28.69	-129.81	0.77
17.578125	-29.44	-136.26	0.84
18.554688	-32.14	-149.29	0.91
19.531250	-32.81	162.79	0.70
20.507813	-30.15	141.42	0.63
21.484375	-30.56	-148.54	0.46
22.460938	-29.01	-160.22	0.54
23.437500	-23.21	-170.28	0.04
24.414063	-22.53	146.89	0.51
25.390625	-25.68	151.57	0.73
26.367188	-29.64	178.22	0.67
27.343750	-31.44	-167.72	0.89
28.320313	-32.71	-170.45	0.61
29.296875	-30.69	-179.97	0.73
30.273438	-30.46	175.99	0.86
31.250000	-29.98	170.72	0.91
32.226563	-29.37	167.61	0.94
33.203125	-29.16	168.69	0.92
34.179688	-28.45	172.49	0.95
35.156250	-28.08	173.92	0.91
36.132813	-27.98	174.67	0.86
37.109375	-27.90	-174.09	0.85
38.085938	-26.65	-165.54	0.73
39.062500	-26.35	-161.18	0.84
40.039063	-26.29	-163.64	0.83
41.015625	-26.45	-175.38	0.86
41.992188	-26.55	179.09	0.93
42.968750	-26.51	175.11	0.98
43.945313	-26.26	172.90	0.97
44.921875	-26.14	175.07	0.95
45.898438	-25.40	175.66	0.94
46.875000	-24.69	176.00	0.99
47.851563	-24.26	175.91	0.98
48.828125	-24.03	175.23	0.99
49.804688	-23.80	174.21	0.99
50.781250	-23.40	173.37	0.99
51.757813	-22.99	172.71	0.99
52.734375	-22.49	172.27	0.99
53.710938	-22.00	171.55	0.99
54.687500	-21.55	170.82	0.99
55.664063	-21.15	169.25	0.97
56.640625	-20.95	169.35	0.98
57.617188	-20.86	169.33	0.99
58.593750	-20.68	169.33	1.00
59.570313	-20.47	169.11	0.99
60.546875	-20.17	168.33	0.93
61.523438	-19.84	167.10	0.98
62.500000	-19.45	165.95	0.99
63.476563	-18.98	164.91	0.99
64.453125	-18.44	163.37	0.99
65.429688	-17.94	161.55	0.94
66.406250	-17.54	160.95	0.98
67.382813	-17.17	160.10	0.99
68.359375	-16.86	159.78	0.99
69.335938	-16.55	159.32	0.99
70.312500	-16.21	158.73	0.99
71.289063	-15.97	157.10	1.00
72.265625	-15.76	155.28	1.00
73.242188	-15.52	153.25	0.99
74.218750	-15.34	151.07	0.99
75.195313	-15.25	149.00	1.00
76.171875	-15.24	147.04	1.00
77.148438	-15.28	145.13	0.99
78.125000	-15.31	143.50	0.99
79.101563	-15.38	142.44	1.00
80.078125	-15.45	142.14	1.00
81.054688	-15.48	141.96	0.99
82.031250	-15.45	141.64	0.98
83.007813	-15.38	142.11	0.97
83.984375	-15.34	143.14	1.00
84.960938	-15.29	144.04	0.99
85.937500	-15.23	144.83	1.00
86.914063	-15.13	145.37	1.00
87.890625	-15.00	145.71	1.00
88.867188	-14.81	145.81	1.00
89.843750	-14.59	145.59	0.99
90.820313	-14.34	145.11	0.99
91.796875	-14.16	144.43	1.00
92.773438	-14.02	143.61	1.00
93.750000	-13.95	142.83	1.00
94.726563	-13.90	142.11	0.98
95.703125	-13.88	141.90	0.99
96.679688	-13.83	142.18	1.00
97.656250	-13.71	142.55	0.99
98.632813	-13.53	142.92	0.98
99.609375	-13.31	143.30	1.00
100.585938	-13.06	143.55	1.00
101.562500	-12.78	143.74	1.00
102.539063	-12.49	143.62	1.00
103.515625	-12.20	143.25	1.00
104.492188	-11.87	142.73	0.98
105.468750	-11.55	141.85	0.99
106.445313	-11.29	140.99	0.99
107.421875	-11.09	139.45	1.00
108.398438	-10.95	137.71	0.99
109.375000	-10.86	136.02	1.00
110.351563	-10.80	134.60	1.00
111.328125	-10.75	133.46	1.00
112.304688	-10.71	132.62	1.00
113.281250	-10.68	132.14	1.00
114.257813	-10.65	131.88	1.00
115.234375	-10.61	131.93	0.99
116.210938	-10.56	132.06	1.00
117.187500	-10.45	132.14	0.99
118.164063	-10.32	132.17	0.98
119.140625	-10.17	132.27	0.99
120.117188	-10.03	132.38	1.00
121.093750	-9.92	132.50	1.00
122.070313	-9.81	132.49	1.00
123.046875	-9.69	132.33	0.99
124.023438	-9.58	132.02	1.00
125.000000	-9.48	131.56	0.99
125.976563	-9.39	131.11	0.99
126.953125	-9.29	130.86	0.99
127.929688	-9.18	130.76	0.99
128.906250	-9.10	130.44	0.99
129.882813	-9.00	130.01	0.99
130.859375	-8.90	129.66	1.00
131.835938	-8.77	129.46	1.00
132.812500	-8.63	129.36	0.99
133.789063	-8.46	129.24	1.00
134.765625	-8.30	129.08	1.00
135.742188	-8.14	128.89	0.99
136.718750	-7.97	128.64	0.99
137.695313	-7.77	128.27	0.99
138.671875	-7.45	127.42	0.99
140.625000	-7.16	126.16	0.99
142.578125	-6.93	124.61	0.99
144.531250	-6.82	123.38	0.98
146.484375	-6.62	122.41	0.98
148.437500	-6.39	121.14	0.98
150.390625	-6.23	119.40	0.99
152.343750	-6.17	118.45	0.98
154.296875	-6.02	117.86	0.98
156.250000	-5.78	117.33	0.98
158.203125	-5.47	116.07	0.99
160.156250	-5.27	114.14	0.99
162.109375	-5.17	112.02	0.99
164.062500	-5.15	110.25	0.99
166.015625	-5.17	108.89	0.99
167.968750	-5.20	107.69	0.99
169.921875	-5.21	106.67	0.99
171.875000	-5.22	105.70	0.99
173.828125	-5.25	104.63	0.99
175.781250	-5.34	103.56	0.99
177.734375	-5.48	102.88	1.00
179.687500	-5.68	102.71	0.99
181.640625	-5.92	103.40	0.98
183.593750	-6.08	104.90	0.97
185.546875	-6.09	107.11	0.94
187.500000	-5.93	109.41	0.95
189.453125	-5.59	111.23	0.97
191.406250	-5.18	112.42	0.99
193.359375	-4.76	112.87	0.99
